symbol,security_id,isin,company,industry,yfinance_symbol
DABUR,772,INE016A01026,Dabur India Ltd.,Fast Moving Consumer Goods,DABUR.NS
DALBHARAT,8075,INE00R701025,Dalmia Bharat Ltd.,Construction Materials,DALBHARAT.NS
DATAPATTNS,7358,INE0IX101010,Data Patterns (India) Ltd.,Capital Goods,DATAPATTNS.NS
DEEPAKFERT,827,INE501A01019,Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals,DEEPAKFERT.NS
DEEPAKNTR,19943,INE288B01029,Deepak Nitrite Ltd.,Chemicals,DEEPAKNTR.NS
DELHIVERY,9599,INE148O01028,Delhivery Ltd.,Services,DELHIVERY.NS
DEVYANI,5373,INE872J01023,Devyani International Ltd.,Consumer Services,DEVYANI.NS
DIVISLAB,10940,INE361B01024,Divi's Laboratories Ltd.,Healthcare,DIVISLAB.NS
DIXON,21690,INE935N01020,Dixon Technologies (India) Ltd.,Consumer Durables,DIXON.NS
LALPATHLAB,11654,INE600L01024,Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB.NS
DRREDDY,881,INE089A01031,Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY.NS
EIDPARRY,916,INE126A01031,E.I.D. Parry (India) Ltd.,Fast Moving Consumer Goods,EIDPARRY.NS
EIHOTEL,919,INE230A01023,EIH Ltd.,Consumer Services,EIHOTEL.NS
EICHERMOT,910,INE066A01021,Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT.NS
ELECON,13643,INE205B01031,Elecon Engineering Co. Ltd.,Capital Goods,ELECON.NS
ELGIEQUIP,937,INE285A01027,Elgi Equipments Ltd.,Capital Goods,ELGIEQUIP.NS
EMAMILTD,13517,INE548C01032,Emami Ltd.,Fast Moving Consumer Goods,EMAMILTD.NS
EMCURE,24398,INE168P01015,Emcure Pharmaceuticals Ltd.,Healthcare,EMCURE.NS
EMMVEE,759728,INE1C6T01020,Emmvee Photovoltaic Power Ltd.,Capital Goods,EMMVEE.NS
ENDURANCE,18822,INE913H01037,Endurance Technologies Ltd.,Automobile and Auto Components,ENDURANCE.NS
ENGINERSIN,4907,INE510A01028,Engineers India Ltd.,Construction,ENGINERSIN.NS
ERIS,21154,INE406M01024,Eris Lifesciences Ltd.,Healthcare,ERIS.NS
ESCORTS,958,INE042A01014,Escorts Kubota Ltd.,Capital Goods,ESCORTS.NS
ETERNAL,5097,INE758T01015,Eternal Ltd.,Consumer Services,ETERNAL.NS
EXIDEIND,676,INE302A01020,Exide Industries Ltd.,Automobile and Auto Components,EXIDEIND.NS
NYKAA,6545,INE388Y01029,FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA.NS
FEDERALBNK,1023,INE171A01029,Federal Bank Ltd.,Financial Services,FEDERALBNK.NS
FACT,1008,INE188A01015,Fertilisers and Chemicals Travancore Ltd.,Chemicals,FACT.NS
FINCABLES,1038,INE235A01022,Finolex Cables Ltd.,Capital Goods,FINCABLES.NS
FSL,14304,INE684F01012,Firstsource Solutions Ltd.,Services,FSL.NS
FIVESTAR,12032,INE128S01021,Five-Star Business Finance Ltd.,Financial Services,FIVESTAR.NS
FORCEMOT,11573,INE451A01017,Force Motors Ltd.,Automobile and Auto Components,FORCEMOT.NS
FORTIS,14592,INE061F01013,Fortis Healthcare Ltd.,Healthcare,FORTIS.NS
GAIL,4717,INE129A01019,GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL.NS
GVT&D,16783,INE200A01026,GE Vernova T&D India Ltd.,Capital Goods,GVT&D.NS
GMRAIRPORT,13528,INE776C01039,GMR Airports Ltd.,Services,GMRAIRPORT.NS
GABRIEL,1085,INE524A01029,Gabriel India Ltd.,Automobile and Auto Components,GABRIEL.NS
GALLANTT,13337,INE297H01019,Gallantt Ispat Ltd.,Capital Goods,GALLANTT.NS
GRSE,5475,INE382Z01011,Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods,GRSE.NS
GICRE,277,INE481Y01014,General Insurance Corporation of India,Financial Services,GICRE.NS
GILLETTE,1576,INE322A01010,Gillette India Ltd.,Fast Moving Consumer Goods,GILLETTE.NS
GLAND,1186,INE068V01023,Gland Pharma Ltd.,Healthcare,GLAND.NS
GLAXO,1153,INE159A01016,Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,GLAXO.NS
GLENMARK,7406,INE935A01035,Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK.NS
MEDANTA,11956,INE474Q01031,Global Health Ltd.,Healthcare,MEDANTA.NS
GODIGIT,23799,INE03JT01014,Go Digit General Insurance Ltd.,Financial Services,GODIGIT.NS
GPIL,13409,INE177H01039,Godawari Power & Ispat Ltd.,Capital Goods,GPIL.NS
GODFRYPHLP,1181,INE260B01028,Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,GODFRYPHLP.NS
GODREJCP,10099,INE102D01028,Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP.NS
GODREJIND,10925,INE233A01035,Godrej Industries Ltd.,Diversified,GODREJIND.NS
GODREJPROP,17875,INE484J01027,Godrej Properties Ltd.,Realty,GODREJPROP.NS
GRANULES,11872,INE101D01020,Granules India Ltd.,Healthcare,GRANULES.NS
